7. 6464 Canoga Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPOSED APARTMENT PROJECT – SPACE ALLOCATION ANALYSIS (BASED ON USER DESIGN INPUT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross building area (GBA) & gross floor area (GFA) analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Fire Sprinkler,,,,,,,,0.10%,,,364 SF,,,-,,,364 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,100%,,,"297,432 SF",,,"279,886 SF",,,"324,129 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Height and Story Distribution Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Building height type,,,,,3. High-Rise,,,,"The building height type for the proposed apartment (e.g., Low-Rise, Mid-Rise, High-Rise).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Above grade height,,,,,,85,FT,,The building height of the proposed apartment from ground level to roof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Building height - Below grade,,,,,,20,FT,,The building height of the proposed apartment from the lowest occupied basement floor to the ground level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total of building height,,,,,,105,FT,,The building height (above-grade and subterranean).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (Above Grade),,,,,,8,,,The number of above-ground floors in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (Below Grade),,,,,,2,,,The number of underground or basement floors for parking in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total of stories,,,,,,10,,,Total number of floors in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (for dwelling units),,,,,,8.4,,,Floors used for residential dwelling units.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (for mix use),,,,,,1.6,,,Floors used for mixed-use spaces (support area + indoor amenities + management…),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (for parking),,,,,,-,,,Floors allocated for parking + spaces/rooms in basements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.30%,,,0.80%,,,,,,
,Total of stories,,,,,,10,,,Total number of floors in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (podium parking),,,,,,-,,,Number of above-ground podium parking floors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (underground parking),,,,,,-,,,Number of underground or basement parking floors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (for parking),,,,,,-,,,Floors allocated for parking + spaces/rooms in basements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parking & Vehicle Access Areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surface parking stalls,,,,,0,Stall(s),,,Number of parking stalls located on ground level (open surface).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Podium parking stalls,,,,,0,Stall(s),,,Number of parking stalls located above ground within the building podium.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Underfround parking stalls,,,,,0,Stall(s),,,Number of parking stalls located below ground level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leased parking stalls,,,,,-,Stall(s),,,Number of parking stalls rented externally from other properties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parking stall (req),,,,,0,Stall(s),,,Total number of parking stalls required by zoning or code.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Residential parking stall (req),,,,,0,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Retail parking stall (req),,,,,0,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parking stall (req),,,,,0,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EV parking stall,,,,,0,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard parking stall,,,,,0,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parking stall (req),,,,,0,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ref. parking code:,,,DBL near transit (affordability thresholds) — §65915(p)(2) (> 40% moderate-income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unit,,,,,Qty,,Stalls/unit,,Req. Stalls,,,Parking & Vehicle Access Areas,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,
,Studio,,,,,83,,0,,0,,,Parking - Indoor,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Bedroom,,,,,202,,0,,0,,,Parking - Surface Lot,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Bedroom,,,,,92,,0,,0,,,Loading Dock,,,,,,TRUE,500 SF,,,500 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Bedroom,,,,,0,,0,,0,,,Temp Loading Zone / Ride-share,,,,,,TRUE,800 SF,,,800 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,Residential parking stall (required),,,,,,,,,0,,,Total,,,,,,,"1,300 SF",,,"1,300 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Is affordable project?,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Has W/D in dwelling unit?,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type of Residential Unit,,,,,2. Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of bedroom,,,,,386,,Bedroom(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of dwelling unit,,,,,377,,Unit(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of res. occupants,,,,,946,,People(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of dwelling unit/floor,,,,,45,,DU/Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dwelling unit,,,Qty of unit,,Bedrooms,,People/Unit,,Occupants,,% Occupant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Studio,,,83,,0,,2,,166,,17.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Bedroom,,,202,,202,,2,,404,,43.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Bedroom,,,92,,184,,4,,368,,39.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Bedroom,,,0,,0,,6,,0,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,377,,386,,,,938,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dwelling units,,,,,,,,Has?,% SF,,,NSF,,,Unit Count,,,Room Size,,,Width,,,Depth,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Studio + 1 Bath (Typical),,,,,,,,TRUE,16.30%,,,"37,130 SF",,,83,,,447 SF,,,17.2 FT,,,26.1 FT,,,,,,,22.00%,16.30%,,,,,,,,,,,,,,,,,,,
,1 Bedroom + 1 Bath (Typical),,,,,,,,TRUE,48.80%,,,"111,576 SF",,,202,,,552 SF,,,22.3 FT,,,24.7 FT,,,,,,,53.60%,48.80%,,,,,,,,,,,,,,,,,,,
,2 Bedroom + 2 Bath (Typical),,,,,,,,TRUE,34.90%,,,"79,784 SF",,,92,,,867 SF,,,41.6 FT,,,20.8 FT,,,,,,,24.40%,34.90%,,,,,,,,,,,,,,,,,,,
,2 Bedroom + 1 Bath,,,,,,,,TRUE,-,,,-,,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Bedroom + 2 Bath + Powder,,,,,,,,TRUE,-,,,-,,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Bedroom + 2 Bath,,,,,,,,TRUE,-,,,-,,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Bedroom + 2 Bath + Powder,,,,,,,,TRUE,-,,,-,,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,100%,,,"228,489 SF",,,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Residential corridor width,,,,,60,,IN,,The clear width of the residential corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vestibule - Stair SF/FL,,,,,120,,SF/floor,,The net floor area of stair vestibules on a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elevator -Passenger SF/floor,,,,,306,,SF/floor,,The net floor area occupied by passenger elevator shafts on a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elevator - Freight SF/floor,,,,,252,,SF/floor,,The net floor area occupied by freight elevator shafts in a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stair SF/floor,,,,,254,,SF/floor,,The net floor area occupied by stair shafts in a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of Elevator - Passenger,,,,,5,,,,The total number of passenger elevators in a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of Elevator - Freight,,,,,2,,,,The total number of freight elevators in a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of Stair,,,,,3,,,,The total number of stairs in a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Circulation,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Corridor - Residential,,,,,,,,TRUE,"24,454 SF",,,"24,454 SF",,,"24,454 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.40%
,Vestibule - Elevator Lobby,,,,,,,,TRUE,"3,005 SF",,,"3,005 SF",,,"3,005 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.60%
,Vestibule - Stair,,,,,,,,TRUE,"1,202 SF",,,"1,202 SF",,,"1,202 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90%
,Vestibule - Entry Wind Lobby,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaft - Elevator - Passenger,,,,,,,,TRUE,"3,056 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaft - Elevator - Freight,,,,,,,,TRUE,"2,520 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaft - Stair,,,,,,,,TRUE,"2,535 SF",,,"2,535 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.10%
,Wheelchair Lift,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"36,772 SF",,,"31,196 SF",,,"28,661 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support Areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Has trash chute?,,,,,,,,TRUE,Indicates whether the apartment building design includes vertical trash chute system for waste disposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of bicycle repair area,,,,,1,,,,Number of designated bicycle repair areas provided within the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bicycle parking - short term,,,,,10,,Stall(s),,Number of short-term bicycle parking spaces located near building entrances for visitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bicycle parking - long term,,,,,95,,Stall(s),,Number of long-term bicycle parking spaces in secure or covered areas for residents or staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of W&D in com. laundry rm.,,,,,38,,W&D,,Number of washer and dryer units installed in the common laundry room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parcel locker comp. (req),,,,,75,,locker(s),,Number of required parcel locker compartments provided for package deliveries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenant modules,,,,,38,,module(s),,Number of tenant-specific modular spaces or functional units included in the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of storage - General,,,,,4,,,,Number of general or maintenance storage rooms allocated within the building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of storage - Janitor's closet,,,,,6,,,,Number of janitorial storage closets provided for cleaning supplies and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of cold storage delivery rm.,,,,,2,,,,Number of cold storage delivery rooms available for perishable goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of storage Room - Parcel,,,,,3,,,,Number of parcel storage rooms designated for holding delivered packages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Support Areas,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bicycle Repair Area,,,,,,,,TRUE,100 SF,,,100 SF,,,100 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bicycle Room,,,,,,,,TRUE,"2,625 SF",,,"2,625 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%
,Common Laundry Room,,,,,,,,TRUE,"1,130 SF",,,"1,130 SF",,,"1,130 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%
,Elevator Machine Rm. (Interior),,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elevator Machine Rm (Roof),,,,,,,,TRUE,177 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entry Lobby,,,,,,,,TRUE,"4,532 SF",,,"4,532 SF",,,"4,532 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34%
,Mail Room / Mail Area,,,,,,,,TRUE,669 SF,,,669 SF,,,669 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%
,Storage Rm.- General,,,,,,,,TRUE,401 SF,,,401 SF,,,401 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%
,Storage Rm.- Janitor's Closet,,,,,,,,TRUE,216 SF,,,216 SF,,,216 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Storage Rm. - Cold Storage Delivery Rm.,,,,,,,,TRUE,200 SF,,,200 SF,,,200 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Storage Rm. - Parcels,,,,,,,,TRUE,301 SF,,,301 SF,,,301 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trash - Trash room at res. Floor (Typ.),,,,,,,,TRUE,902 SF,,,902 SF,,,902 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%
,Trash - Trash vestibules at res. floors (Typ.),,,,,,,,TRUE,"1,217 SF",,,"1,217 SF",,,"1,217 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9%
,Trash - Recycling room,,,,,,,,TRUE,400 SF,,,400 SF,,,400 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trash - Compactor room,,,,,,,,TRUE,312 SF,,,312 SF,,,312 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trash - Compost room,,,,,,,,TRUE,333 SF,,,333 SF,,,333 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"13,515 SF",,,"13,337 SF",,,"10,712 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff / Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of leasing office,,,,,1,,,,Number of leasing office room provided for tenent services and leasing operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of manager's office,,,,,1,,,,Number of manager's office rooms designated for on-site building management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of cameras,,,,,114,,,,Number of security cameras installed within the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of staff lockers & showers,,,,,8,,,,Number of locker and shower facilities provided for building staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staff / Management,,,,,,,Color,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leasing Office,,,,,,,,TRUE,100 SF,,,100 SF,,,100 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%
,Manager's Office,,,,,,,,TRUE,100 SF,,,100 SF,,,100 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%
,Parking Control Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CCTV / IT / Security Equipment rm,,,,,,,,TRUE,147 SF,,,147 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%
,Staff Break Room,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staff Lockers & Showers,,,,,,,,TRUE,"1,467 SF",,,"1,467 SF",,,"1,467 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78%
,Staff Restroom,,,,,,,,TRUE,61 SF,,,61 SF,,,61 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"1,875 SF",,,"1,875 SF",,,"1,728 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open space analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirement:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space (req),,,,,"21,150 SF",,,,The total area of shared outdoor or indoor open space required by LAMC for all residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private open space,,,,,"18,850 SF",,,,"The total area of balconies, patios, or other open spaces reserved for the exclusive use of individual dwelling units",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Open Space (req),,,,,"40,000 SF",,,,The minimum open space area mandated by the LAMC for the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
